"Date" "DateID" "Option" "S" "K" "r" "q" "tau" "t" "sigma" "C" "Day" "MeanPrice" "rv5" "rsv" "medrv" "bv" "rk_parzen" "naive"
"5949" "2011-12-08" 20111208 31 1234.35 1131.42 0.00361046571428571 0.02391571 0.0555555555555556 0.194444444444444 0.398484428571429 112.346026261198 49 45.5380082816835 0.20318337931961 0.169944225905041 0.152343382485005 0.202500194442788 0.163344922182263 0.142121406695314
"5952" "2011-12-09" 20111209 31 1255.19 1131.42 0.00371496571428571 0.02384082 0.0515873015873016 0.198412698412698 0.399115666666667 129.365799697752 50 45.5380082816835 0.173437042204324 0.0864615042188816 0.0964460719635033 0.147338161929698 0.163631612492731 0.142820174051375
"5955" "2011-12-12" 20111212 31 1236.47 1131.42 0.00408092 0.02381867 0.0476190476190476 0.202380952380952 0.399746904761905 112.338783376624 51 45.5380082816835 0.230158436166809 0.212799013823788 0.0816680698408962 0.136324961561447 0.225474137816294 0.14341056829872
"5958" "2011-12-13" 20111213 31 1225.73 1131.42 0.00425395357142857 0.02389043 0.0436507936507936 0.206349206349206 0.400378142857143 102.303876649587 52 45.5380082816835 0.215872231153629 0.149999811684112 0.12391795542411 0.194282569934483 0.237512609846321 0.143226212125071
"5961" "2011-12-14" 20111214 31 1211.82 1131.42 0.00282359 0.02390072 0.0396825396825397 0.21031746031746 0.401009380952381 89.6741958237644 53 45.5380082816835 0.181014827496281 0.137921910101044 0.140039051500132 0.183192936338697 0.133899702913255 0.142725226318744
"5964" "2011-12-15" 20111215 31 1215.75 1131.42 0.00284408 0.02385998 0.0357142857142857 0.214285714285714 0.401640619047619 91.7486349837337 54 45.5380082816835 0.193254198322021 0.0899351516392135 0.0858658285370943 0.1102144624073 0.128889868194902 0.142639967024486
"5967" "2011-12-16" 20111216 31 1219.66 1131.42 0.002846335 0.02389787 0.0317460317460317 0.218253968253968 0.402271857142857 93.9279545089202 55 45.5380082816835 0.171043181463982 0.0861793902971427 0.0795260335726033 0.117484498965628 0.178369631371516 0.14231229187334
"5970" "2011-12-19" 20111219 31 1205.35 1131.42 0.00288494 0.02392361 0.0277777777777778 0.222222222222222 0.402903095238095 80.6127477067738 56 45.5380082816835 0.151088516228212 0.118423823511034 0.100614214209904 0.137629957929106 0.151213298374059 0.14283057125992
"5973" "2011-12-20" 20111220 31 1241.3 1131.42 0.00291827866666667 0.02394444 0.0238095238095238 0.226190476190476 0.403534333333333 111.510247258534 57 45.5380082816835 0.282517645665077 0.05244032261658 0.0587956282076004 0.172651015138798 0.292419232369825 0.142284483019048
"5976" "2011-12-21" 20111221 31 1243.72 1131.42 0.00293111285714286 0.02391434 0.0198412698412698 0.23015873015873 0.404165571428571 113.152242651964 58 45.5380082816835 0.133830746786989 0.0941330243871655 0.102318646826585 0.126581594905173 0.116316444915538 0.138363402961142
"5979" "2011-12-22" 20111222 31 1254 1131.42 0.00294768076923077 0.02387375 0.0158730158730159 0.234126984126984 0.40479680952381 122.659096536483 59 45.5380082816835 0.0847032276261017 0.0502942682911001 0.0549751985791273 0.0828846219572134 0.0851559223697625 0.138503919924087
"5982" "2011-12-23" 20111223 31 1265.33 1131.42 0.00295181333333333 0.02388308 0.0119047619047619 0.238095238095238 0.405428047619048 133.688745698048 60 45.5380082816835 0.0746359167787861 0.0328851006190085 0.045717740967145 0.0614795924526567 0.0719891291036507 0.136920152269167
"5985" "2011-12-27" 20111227 31 1265.43 1131.42 0.0029521 0.02389226 0.00793650793650794 0.242063492063492 0.406059285714286 133.80857820638 61 45.5380082816835 0.0733533029950132 0.0540835772882057 0.0388606644267447 0.065702821713537 0.071044479148751 0.136575736819637
